id,Term,PosScore,NegScore
0,hấp dẫn,0.875,0.0
1,vui vẻ,0.75,0.0
2,dài,0.125,0.375
3,phong phú,0.0,0.25
4,thừa thãi,0.125,0.5
5,khan hiếm,0.0,0.25
6,chấp nhận,0.625,0.0
7,chính xác,0.5,0.0
8,dễ thương,0.5,0.0
9,nhanh,0.25,0.125
10,hoàn chỉnh,0.5,0.0
11,giản lược,0.125,0.625
12,khéo tay,0.5,0.0
13,nguyên chất,0.625,0.0
14,thuận lợi,0.625,0.0
15,có lợi,0.625,0.0
16,tích cực,0.75,0.0
17,bất lợi,0.0,0.75
18,khuyến khích,0.625,0.0
19,tốt hơn,0.75,0.0
20,tốt nhất,0.75,0.0
21,ảnh hưởng,0.125,0.5
22,ấn tượng,0.5,0.0
23,phủ định,0.0,0.75
24,đồng ý,0.5,0.0
25,sợ,0.0,0.5
26,báo động,0.0,0.625
27,vị tha,0.75,0.0
28,mơ hồ,0.125,0.0
29,hào phóng,0.25,0.0
30,chật hẹp,0.125,0.625
31,tức giận,0.0,0.875
32,thích hợp,0.75,0.0
33,náo nhiệt,0.375,0.0
34,ngạc nhiên,0.5,0.0
35,ngon lành,0.5,0.125
36,láu cá,0.125,0.5
37,quý báu,0.625,0.0
38,sâu sắc,0.625,0.0
39,tự nhiên,0.5,0.125
40,bất cẩn,0.25,0.5
41,rõ ràng,0.5,0.125
42,nhút nhát,0.375,0.5
43,khờ dại,0.125,0.5
44,lo lắng,0.125,0.5
45,phô trương,0.0,0.375
46,xám xịt,0.125,0.25
47,thịnh vượng,0.625,0.0
48,thông minh,0.5,0.0
49,xấu,0.0,0.625
50,khủng khiếp,0.0,0.625
51,đe dọa,0.0,0.75
52,yên lòng,0.5,0.0
53,quả quyết,0.5,0.0
54,xinh đẹp,0.875,0.0
55,rực rỡ,0.75,0.0
56,tiến bộ,0.5,0.0
57,hiểm ác,0.0,0.75
58,tốt bụng,0.5,0.0
59,tệ nhất,0.25,0.75
60,hèn nhát,0.0,0.5
61,tái mét,0.0,0.25
62,tối tăm,0.125,0.5
63,hăng hái,0.25,0.0
