eò  èo
eó  éo
eỏ  ẻo
eõ  ẽo
eọ  ẹo
aò  ào
aó  áo
aỏ  ảo
aõ  ão
aọ  ạo
aì  ài
aí  ái
aỉ  ải
aĩ  ãi
aị  ại
òe	oè
óe	oé
ỏe	oẻ
õe	oẽ
ọe	oẹ
òa	oà
óa	oá
ỏa	oả
õa	oã
ọa	oạ
oì  òi
oí  ói
oỉ  ỏi
oĩ  õi
oị  ọi
êù  ếu
êú  ếu
êủ  ểu
êũ  ễu
êụ  ệu
ơí  ới
ơì  ời
ơỉ  ởi
ơĩ  ỡi
ơị  ợi
ôì  ồi
ôí  ối
ôỉ  ổi
ôĩ  ỗi
ôị  ôi
iá  ía
ià  ìa
iả  ỉa
iã  ĩa
iạ  ịa
iú  íu
iù  ìu
iủ  ỉu
iũ  ĩu
iụ  ịu
ưá  ứa
ưà  ừa
ưả  ửa
ưã  ữa
ưạ  ựa
ưí  ứi
ưì  ừi
ưỉ  ửi
ưĩ  ữi
ưị  ựi
ưú  ứu
ưù  ứu
ưủ  ửu
ưũ  ữu
ưụ  ựu
uá  úa
uà  ùa
uả  ủa
uã  ũa
uạ  ụa
úê  uế
ùê  uề
ủê  uể
ũê  uễ
ụê  uệ
uí  úi
uì  ùi
uỉ  ủi
uĩ  ũi
uị  ụi
ùy	uỳ
úy	uý
ủy	uỷ
ũy	uỹ
ụy	uỵ 
aý  áy
aỳ  ày
aỷ  ảy
aỹ  ãy
aỵ  ạy
âý  ấy
âỳ  ầy
âỷ  ẩy
âỹ  ẫy
âỵ  ậy
aú  áu
aù  àu
aủ  ảu
aũ  ãu
aụ  ạu
âú  ấu
âù  ầu
âủ  ẩu
âỹ  ẫy
âỵ  ậy
óă  oắ
òă  oằ
ỏă  oẳ
õă  oẵ
ọă  oặ
úâ  uấ
ùâ  uầ
ủâ  uẩ
ũâ  uẫ
ụâ  uậ
íê  iế
ìê  iề
ỉê  iể
ĩê  iễ
ịê  iệ
ýê  yế
ỳê  yề
ỷê  yể
ỹê  yễ
ỵê  yệ
úô  uố
ùô  uồ
ủô  uổ
ũô  uỗ
ụô  uộ
ứơ  ướ
ừơ  ườ
ửơ  ưở
ữơ  ưỡ
ựơ  ượ
